id,author,length,created_at,like_count,retweet_count,full_text,source
1274119928090701825,BreitbartNews,174,2020-06-19 23:20:37,562,305,The Washington Post removed a front-page graphic on Friday after nationwide coronavirus deaths have continued to decline under President Donald Trump. https://t.co/GjfwkBC2rt,SocialFlow
1274116356401741832,BreitbartNews,244,2020-06-19 23:06:25,153,88,"UPDATE: The NCAA on Friday expanded its policy banning states with prominent Confederate symbols from hosting its championship events, one day after the SEC made a similar declaration aimed at the Mississippi state flag. https://t.co/eoQGVSsXrc",SocialFlow
1274110656950788101,BreitbartNews,264,2020-06-19 22:43:47,405,343,"“When hiring for HR positions, it’s important to prioritize H-1B visa workers, and this will stimulate the process of diversification of the workplace,” says the March 2020 document leaked by @Project_Veritas, titled “Diversity Initiative.” https://t.co/eUr1vZxRlB",SocialFlow
1274104941922189319,BreitbartNews,29,2020-06-19 22:21:04,204,72,Whoa! https://t.co/hr9EYPFDr4,SocialFlow
1274099469131415552,BreitbartNews,248,2020-06-19 21:59:19,157,91,"Philonise Floyd, the brother of George Floyd, the black man who died last month at the hands of Minneapolis police, is asking the United Nations to investigate policing in the United States for racism and “police brutality.” https://t.co/B9TFFEAfcY",SocialFlow
1274094212674285568,BreitbartNews,139,2020-06-19 21:38:26,0,2086,"RT @mrjondavid: I wrote this song for all of the Deplorables out there.

RT and let's show the left-wing MSM that we're fired up and ready…",Twitter for iPhone
1274093897753526272,BreitbartNews,78,2020-06-19 21:37:11,2816,494,How will the Republic survive such a devastating blow? https://t.co/7SUzoQSepa,SocialFlow
1274089166796730371,BreitbartNews,132,2020-06-19 21:18:23,0,102,RT @IldefonsoOrtiz: EXCLUSIVE: Drug Lord Controlling Mexican Border State Prison Unmasked https://t.co/mt36scSVVA via @BreitbartNews,Twitter for iPhone
1274089149583241216,BreitbartNews,68,2020-06-19 21:18:19,0,674,"RT @AlexMarlow: All of a sudden, CNN believes in walls and borders??",Twitter for iPhone
1274088712511594503,BreitbartNews,39,2020-06-19 21:16:35,949,779,It's happening. https://t.co/DeyszI6XPP,SocialFlow
1274088505501720583,BreitbartNews,140,2020-06-19 21:15:45,0,64,"RT @WVGovernor: Today I declared June 19th as Juneteenth Day in West Virginia! 

This is a very special day and an important day for all of…",Twitter Web App
1274083642034266114,BreitbartNews,159,2020-06-19 20:56:26,766,239,"President Donald Trump on Friday warned leftist rioters not to show up at his campaign rally scheduled for Saturday in Tulsa, Oklahoma. https://t.co/wZJZTdwQyq",SocialFlow
1274079105038909442,BreitbartNews,190,2020-06-19 20:38:24,1154,439,WATCH: Joe Rogan said left-wing media have “completely ignored” Joe Biden’s repeated verbal flubs and judged that he is “clearly” in some form of “cognitive decline.” https://t.co/ikljvLvxLI,SocialFlow
1274076595603546115,BreitbartNews,172,2020-06-19 20:28:26,439,134,"Watch live as supporters of President Donald Trump line up a day early on Friday for the president’s campaign rally in Tulsa, Oklahoma, on Saturday. https://t.co/8FPoMwCQoQ",SocialFlow
1274074222730661889,BreitbartNews,27,2020-06-19 20:19:00,1120,343,🤡🤡🤡 https://t.co/1eaC2dDBTG,SocialFlow
1274073867150143494,BreitbartNews,39,2020-06-19 20:17:35,549,285,Not Very Woke!  https://t.co/oNw9TTtd1R,SocialFlow
1274068383693262854,BreitbartNews,251,2020-06-19 19:55:48,1033,323,".@JoeRogan said left-wing media have ""completely ignored"" former Vice President Joe Biden's repeated verbal flubs and judged that the presumptive Democratic presidential nominee is ""clearly"" in some form of ""cognitive decline."" https://t.co/Tk05HDKsaf",SocialFlow
1274065605931536384,BreitbartNews,246,2020-06-19 19:44:46,557,265,".@KenBlackwell and @BernardKerik: ""The Democrat Party has had decades to fulfill its promises to black Americans, but all it’s delivered is crime-ridden cities bereft of economic opportunity. It’s time to shake things up."" https://t.co/ZnDOujwAAh",SocialFlow
1274060443401814018,BreitbartNews,117,2020-06-19 19:24:15,2629,1283,"""That is a bonafide death wish to defund the police,"" said Trump rally attendee Darryl Henry. https://t.co/TBOpOb4lED",SocialFlow
